frame,timestamp,car_id,car_center,x1,y1,x2,y2,movement,fps
80,1764848889.09,6,"(263, 624)",170,579,357,670,0.4,3.08
81,1764848889.44,1,"(138, 885)",6,823,270,948,0.4,3.08
81,1764848889.44,3,"(211, 735)",98,684,324,786,0.4,3.08
81,1764848889.44,6,"(263, 625)",170,580,356,670,0.4,3.08
82,1764848889.81,1,"(138, 885)",7,823,270,947,0.2,3.06
82,1764848889.81,3,"(212, 734)",99,683,326,785,0.48,3.04
82,1764848889.81,6,"(263, 624)",163,575,364,673,0.6,3.02
83,1764848890.18,1,"(139, 885)",7,823,271,947,0.4,3.01
83,1764848890.18,3,"(212, 734)",99,683,325,785,0.48,2.99
83,1764848890.19,6,"(263, 624)",162,575,364,673,0.4,2.96
84,1764848890.56,1,"(138, 885)",7,823,270,947,0.4,2.93
84,1764848890.56,3,"(212, 733)",99,682,326,784,0.48,2.9
84,1764848890.56,6,"(262, 623)",162,574,363,672,0.68,2.87
85,1764848890.94,1,"(139, 884)",7,822,271,947,0.68,2.84
85,1764848890.94,3,"(212, 733)",99,682,326,785,0.48,2.83
85,1764848890.94,6,"(261, 623)",161,574,362,672,0.88,2.82
86,1764848891.31,1,"(139, 884)",7,822,271,947,0.68,2.83
86,1764848891.31,3,"(213, 733)",100,682,326,784,0.68,2.83
86,1764848891.31,6,"(261, 623)",161,574,362,672,0.68,2.83
87,1764848891.66,1,"(140, 884)",9,822,271,946,0.88,2.84
87,1764848891.66,3,"(212, 733)",100,682,325,784,0.6,2.87
87,1764848891.66,6,"(261, 623)",161,574,362,672,0.48,2.9
88,1764848892.0,1,"(140, 884)",9,822,272,946,0.68,2.94
88,1764848892.0,3,"(213, 733)",101,682,326,784,0.8,2.98
88,1764848892.0,6,"(261, 623)",161,574,362,672,0.48,3.02
89,1764848892.36,1,"(140, 883)",9,822,272,945,0.68,3.05
89,1764848892.36,3,"(213, 733)",101,682,326,784,0.6,3.07
89,1764848892.36,6,"(261, 622)",161,574,361,671,0.4,3.09
90,1764848892.72,1,"(140, 883)",9,821,272,945,0.4,3.09
90,1764848892.72,3,"(213, 732)",101,682,326,783,0.8,3.08
90,1764848892.72,6,"(263, 621)",163,573,363,670,0.65,3.06
91,1764848893.09,1,"(140, 883)",9,821,272,945,0.4,3.05
91,1764848893.09,3,"(213, 732)",101,682,326,783,0.6,3.03
91,1764848893.09,6,"(263, 621)",164,573,363,669,0.65,3.0
92,1764848893.44,1,"(140, 882)",8,820,273,945,0.4,2.99
92,1764848893.44,3,"(213, 732)",101,682,326,783,0.4,2.99
92,1764848893.44,6,"(263, 621)",164,573,363,669,0.65,2.98
93,1764848893.79,1,"(140, 882)",8,820,273,945,0.4,2.98
93,1764848893.79,3,"(213, 732)",101,681,326,783,0.2,3.0
93,1764848893.79,6,"(263, 621)",164,573,363,669,0.65,3.02
94,1764848894.14,1,"(141, 882)",9,820,273,945,0.4,3.03
94,1764848894.14,3,"(213, 732)",101,681,326,783,0.2,3.04
94,1764848894.14,6,"(263, 621)",164,573,363,669,0.45,3.06
95,1764848894.5,1,"(141, 882)",10,820,273,944,0.4,3.07
95,1764848894.5,3,"(214, 732)",102,681,326,783,0.2,3.07
95,1764848894.5,6,"(263, 621)",164,573,363,669,0.0,3.07
96,1764848894.84,1,"(142, 882)",11,820,274,944,0.6,3.07
96,1764848894.85,3,"(214, 732)",102,681,326,783,0.2,3.06
96,1764848894.85,6,"(263, 620)",164,573,362,668,0.2,3.06
97,1764848895.19,1,"(143, 881)",12,820,274,943,0.68,3.06
97,1764848895.19,3,"(214, 732)",102,681,326,783,0.2,3.07
97,1764848895.19,6,"(263, 620)",165,572,362,668,0.2,3.08
98,1764848895.54,1,"(143, 881)",12,820,275,943,0.68,3.08
98,1764848895.54,3,"(214, 732)",102,681,327,783,0.2,3.08
98,1764848895.54,6,"(263, 620)",165,572,362,668,0.2,3.09
99,1764848895.9,1,"(143, 881)",12,820,275,943,0.48,3.08
99,1764848895.9,3,"(216, 729)",104,679,328,780,0.92,3.07
99,1764848895.9,6,"(263, 620)",165,572,362,668,0.2,3.07
100,1764848896.27,1,"(144, 881)",12,820,276,943,0.68,3.06
100,1764848896.27,3,"(216, 729)",104,679,328,780,0.72,3.04
100,1764848896.27,6,"(263, 619)",165,572,362,667,0.4,3.03
101,1764848896.63,1,"(144, 881)",12,820,276,943,0.48,3.02
101,1764848896.63,3,"(216, 729)",104,679,328,780,0.72,3.01
101,1764848896.63,6,"(263, 619)",165,572,362,667,0.2,3.0
102,1764848896.98,1,"(143, 881)",11,819,276,943,0.4,2.99
102,1764848896.98,3,"(216, 729)",104,679,328,780,0.72,2.99
102,1764848896.98,6,"(264, 619)",166,572,362,667,0.4,2.99
103,1764848897.34,1,"(143, 881)",11,819,276,943,0.4,2.99
103,1764848897.34,3,"(215, 729)",103,679,328,780,0.92,2.99
103,1764848897.34,6,"(264, 619)",166,572,362,667,0.4,2.99
104,1764848897.7,1,"(143, 881)",11,819,276,943,0.4,2.99
104,1764848897.7,3,"(215, 729)",103,679,328,780,0.2,2.98
104,1764848897.7,6,"(264, 618)",166,571,362,666,0.6,2.98
105,1764848898.06,1,"(143, 881)",11,819,276,943,0.2,2.98
105,1764848898.06,3,"(215, 729)",103,679,328,780,0.2,2.98
105,1764848898.06,6,"(264, 618)",166,571,362,666,0.4,2.97
106,1764848898.45,1,"(144, 881)",12,819,276,943,0.4,2.96
106,1764848898.45,3,"(216, 729)",103,678,329,780,0.4,2.95
106,1764848898.45,6,"(266, 619)",168,572,365,666,0.85,2.94
107,1764848898.81,1,"(144, 880)",12,819,277,942,0.4,2.94
107,1764848898.81,3,"(216, 728)",104,678,329,779,0.6,2.94
107,1764848898.81,6,"(267, 618)",168,571,366,666,0.93,2.94
108,1764848899.19,1,"(144, 880)",11,818,277,942,0.4,2.93
108,1764848899.19,3,"(215, 729)",103,679,327,779,0.68,2.92
108,1764848899.19,6,"(270, 619)",170,572,370,667,1.56,2.91
